key_locality_sub_;Étiquettes de lignes;locality;Min. de prix_m2_2;Moyenne de prix_m2;Max. de prix_m2;
TOWN_HOUSEMechelen;TOWN_HOUSE;Mechelen;1344;2323;3506;
VILLAMechelen;VILLA;Mechelen;1512;2741;6618;
APARTMENTMons;APARTMENT;Mons;748;2491;4070;
APARTMENT_BLOCKMons;APARTMENT_BLOCK;Mons;560;1598;5244;
DUPLEX-TRIPLEXMons;DUPLEX-TRIPLEX;Mons;717;1577;2689;
EXCEPTIONAL_PROPERTYMons;EXCEPTIONAL_PROPERTY;Mons;995;1675;3000;
FLAT_STUDIOMons;FLAT_STUDIO;Mons;2472;2965;3462;
GROUND_FLOORMons;GROUND_FLOOR;Mons;1355;2772;3700;
HOUSEMons;HOUSE;Mons;409;1385;4311;
LOFTMons;LOFT;Mons;471;1728;3398;
MANSIONMons;MANSION;Mons;1023;1182;1636;
MIXED_USE_BUILDINGMons;MIXED_USE_BUILDING;Mons;438;1195;2522;
PENTHOUSEMons;PENTHOUSE;Mons;1729;3097;4181;
TOWN_HOUSEMons;TOWN_HOUSE;Mons;724;1405;2492;
VILLAMons;VILLA;Mons;448;1917;4198;
APARTMENTMouscron;APARTMENT;Mouscron;755;2438;3534;
APARTMENT_BLOCKMouscron;APARTMENT_BLOCK;Mouscron;500;1222;2031;
DUPLEX-TRIPLEXMouscron;DUPLEX-TRIPLEX;Mouscron;1174;1720;2567;
EXCEPTIONAL_PROPERTYMouscron;EXCEPTIONAL_PROPERTY;Mouscron;1807;2269;2731;
GROUND_FLOORMouscron;GROUND_FLOOR;Mouscron;1211;2085;2649;
HOUSEMouscron;HOUSE;Mouscron;500;1619;6637;
LOFTMouscron;LOFT;Mouscron;823;2180;2467;
MANSIONMouscron;MANSION;Mouscron;1509;1509;1509;
MIXED_USE_BUILDINGMouscron;MIXED_USE_BUILDING;Mouscron;686;1009;1521;
SERVICE_FLATMouscron;SERVICE_FLAT;Mouscron;4669;4839;4955;
VILLAMouscron;VILLA;Mouscron;1280;2383;6637;
APARTMENTNamur;APARTMENT;Namur;673;3041;4971;
APARTMENT_BLOCKNamur;APARTMENT_BLOCK;Namur;583;1894;8667;
DUPLEX-TRIPLEXNamur;DUPLEX-TRIPLEX;Namur;1108;2382;4527;
EXCEPTIONAL_PROPERTYNamur;EXCEPTIONAL_PROPERTY;Namur;529;2512;9592;
FLAT_STUDIONamur;FLAT_STUDIO;Namur;1917;3641;5400;
GROUND_FLOORNamur;GROUND_FLOOR;Namur;1522;3097;4300;
HOUSENamur;HOUSE;Namur;423;1898;5000;
LOFTNamur;LOFT;Namur;615;615;615;
MANSIONNamur;MANSION;Namur;600;1589;3333;
MIXED_USE_BUILDINGNamur;MIXED_USE_BUILDING;Namur;529;1636;3602;
PENTHOUSENamur;PENTHOUSE;Namur;1217;3699;5879;
SERVICE_FLATNamur;SERVICE_FLAT;Namur;1915;1915;1915;
TOWN_HOUSENamur;TOWN_HOUSE;Namur;1577;2058;2450;
VILLANamur;VILLA;Namur;667;2185;4064;
APARTMENTNeufchâteau;APARTMENT;Neufchâteau;531;2549;3602;
APARTMENT_BLOCKNeufchâteau;APARTMENT_BLOCK;Neufchâteau;641;1670;5643;
DUPLEX-TRIPLEXNeufchâteau;DUPLEX-TRIPLEX;Neufchâteau;1513;2420;2800;
